"","playerId","playerName","LA_RAPM","LA_RAPM__Def","LA_RAPM__Off","RAPM","RAPM__Def","RAPM__Off","season","Team","MP"
"91",101123,"Gerald Green",0.02,1.22,-1.2,-0.23,1.57,-1.79,"2012-13","IND",1080.445
"92",101123,"Gerald Green",-3.1,-1.14,-1.96,-0.84,-1.14,0.3,"2013-14","PHX",2329.87833333333
"93",101123,"Gerald Green",-0.27,-0.69,0.42,-0.11,-1.05,0.94,"2014-15","PHX",1446.18333333333
"94",101123,"Gerald Green",-0.3,-0.51,0.2,0.26,-0.11,0.37,"2015-16","MIA",1557.21833333333
"95",101123,"Gerald Green",-0.14,-0.56,0.42,-0.24,-0.15,-0.09,"2016-17","BOS",537.883333333333
"96",101123,"Gerald Green",0.09,-0.23,0.32,0.03,0.43,-0.39,"2017-18","HOU",929.155
"97",101123,"Gerald Green",-0.08,-1.32,1.24,0.35,-0.87,1.22,"2018-19","HOU",1472.98166666667
"98",101124,"Hakim Warrick",-2.98,-1.57,-1.41,-2.3,-0.87,-1.43,"2009-10","CHI",1557.22
"99",101124,"Hakim Warrick",-1.12,-1.22,0.11,-1.72,-1.87,0.16,"2010-11","PHX",1415.52166666667
"100",101124,"Hakim Warrick",-2.27,-0.77,-1.5,-3.09,-1.63,-1.46,"2011-12","PHX",503.026666666667
"101",101124,"Hakim Warrick",-1.43,-0.36,-1.07,-1.58,-0.3,-1.28,"2012-13","CHA",488.905
"102",101126,"Nate Robinson",-0.19,-0.93,0.74,0.43,-0.22,0.65,"2009-10","BOS",1115.85166666667
"103",101126,"Nate Robinson",-0.39,-0.5,0.1,-0.94,-0.26,-0.68,"2010-11","OKC",1013.24333333333
"104",101126,"Nate Robinson",1.07,-0.04,1.1,1.68,-0.87,2.55,"2011-12","GSW",1192.32333333333
"105",101126,"Nate Robinson",-0.41,-0.99,0.58,-0.21,-0.82,0.61,"2012-13","CHI",2086.25833333333
"106",101126,"Nate Robinson",1.34,-0.32,1.65,1.17,0.54,0.63,"2013-14","DEN",866.078333333333
"107",101126,"Nate Robinson",-0.75,0.24,-0.99,-1.5,-0.16,-1.35,"2014-15","DEN",590.933333333333
"108",101126,"Nate Robinson",-0.18,-0.02,-0.16,-0.27,-0.08,-0.19,"2015-16","NOP",23.2966666666667
"109",101127,"Jarrett Jack",0.87,-0.95,1.82,0.03,-1.65,1.67,"2009-10","TOR",2243.44
"110",101127,"Jarrett Jack",-1.52,-0.46,-1.05,-2.49,-1.06,-1.43,"2010-11","NOH",1722.25666666667
"111",101127,"Jarrett Jack",-2.52,-1.07,-1.45,-2.36,-0.35,-2,"2011-12","NOH",1530.26
"112",101127,"Jarrett Jack",-1.22,-1.32,0.1,0.84,0.07,0.77,"2012-13","GSW",2348.57666666667
"113",101127,"Jarrett Jack",-4.28,-2.15,-2.13,-1.73,-0.72,-1.01,"2013-14","CLE",2252.11
"114",101127,"Jarrett Jack",-2.12,-1.31,-0.82,-2.8,-1.47,-1.32,"2014-15","BKN",2240.87833333333
"115",101127,"Jarrett Jack",-0.41,-0.23,-0.18,-0.73,-0.31,-0.42,"2015-16","BKN",1026.65333333333
"116",101127,"Jarrett Jack",-0.05,-0.01,-0.04,-0.23,-0.03,-0.2,"2016-17","NOP",33.0833333333333
"117",101127,"Jarrett Jack",0.15,-0.16,0.3,0.86,0.11,0.75,"2017-18","NYK",1547.56833333333
"118",101128,"Francisco Garcia",0.55,-0.2,0.75,0.2,-0.32,0.53,"2009-10","SAC",575.408333333333
"119",101128,"Francisco Garcia",-0.09,0.11,-0.2,-0.44,0.02,-0.47,"2010-11","SAC",1385.62666666667
"120",101128,"Francisco Garcia",-0.16,0.56,-0.72,-0.91,1.28,-2.19,"2011-12","SAC",798.223333333333
"121",101128,"Francisco Garcia",-1.4,-0.42,-0.99,-0.35,0.13,-0.48,"2012-13","HOU",1029.41166666667
"122",101128,"Francisco Garcia",-1.63,-0.2,-1.42,-0.37,-0.07,-0.3,"2013-14","HOU",1083.25
"123",101128,"Francisco Garcia",0.43,0.17,0.25,-0.11,0.16,-0.27,"2014-15","HOU",200.401666666667
"124",101130,"Johan Petro",0.03,0.29,-0.25,0.17,0.17,0,"2009-10","DEN",435.49
"125",101130,"Johan Petro",-1.72,0.59,-2.31,-0.78,0.65,-1.43,"2010-11","NJN",893.413333333333
"126",101130,"Johan Petro",-1.75,0.61,-2.36,-1.72,0.05,-1.77,"2011-12","NJN",920.045
"127",101130,"Johan Petro",-2.3,-1.04,-1.25,-2.18,-1.37,-0.81,"2012-13","ATL",351.71
