"","team_season","MP","new_LA_RAPM","new_LA_RAPM__Def","new_LA_RAPM__Off","new_RAPM","new_RAPM__Def","new_RAPM__Off"
"131","2013-14 - HOU",19625.7983333333,26238.6744666667,2476.40165000001,23776.2888333333,20030.3913833333,3824.76793333333,16147.06085
"132","2013-14 - IND",22109.89,21630.2924666667,27319.7215,-5674.30098333334,15027.00875,21023.5069333333,-5992.96098333333
"133","2013-14 - LAC",21541.9016666667,39072.2266666667,5785.75754999997,33291.8562333334,27515.0645,8394.0395,19073.36445
"134","2013-14 - LAL",19169.9816666667,-15313.1716,-10923.5588333334,-4386.81619999998,-14827.3846333333,-10716.288,-4120.03523333333
"135","2013-14 - MEM",20490.6983333333,22192.97115,12090.8453833333,10147.3265833333,10766.66965,8480.12675,2306.25106666666
"136","2013-14 - MIA",20111.1183333333,30184.5854833333,2641.72035000001,27527.35225,18700.3230666667,1786.52396666667,16965.8045166667
"137","2013-14 - MIL",19250.815,-12850.8739,-11844.052,-1004.96379999999,-21231.7181333333,-13809.2348666667,-7427.84755
"138","2013-14 - MIN",19922.7666666667,25026.00195,4306.3745,20725.35625,14739.9144,3210.91238333334,11563.57085
"139","2013-14 - NOP",19648.7383333333,1826.92769999998,-11522.5993666667,13385.78105,-3728.62680000002,-8295.39326666668,4590.23044999999
"140","2013-14 - NYK",20068.5516666667,481.381000000029,-6371.73589999999,6860.75416666668,437.973483333349,-7233.87779999999,7653.3578
"141","2013-14 - OKC",20626.0816666667,32465.8129833333,12799.3744333333,19690.01075,25472.3855333333,11210.4751333333,14235.2030666667
"142","2013-14 - ORL",18732.3833333333,-6099.53530000001,115.382849999985,-6249.8205,-13942.3908833333,-3802.84455000001,-10141.7133833333
"143","2013-14 - PHI",15630.5383333333,-27812.2432333334,-13868.0188333333,-13907.0700666667,-25483.5154333333,-11056.6031166667,-14473.5448166667
"144","2013-14 - PHX",19755,15462.2634833333,-541.848433333342,16007.3513333333,14059.32145,1313.19281666666,12730.7351666667
"145","2013-14 - POR",19855,29028.2244666667,105.152850000009,28941.0195166667,19347.40415,-356.242166666665,19726.8278166667
"146","2013-14 - SAC",18191.1716666667,5822.92943333333,-1506.418,7371.64263333333,-3986.87295000001,-4234.46431666667,204.019733333331
"147","2013-14 - SAS",19335.4033333333,35787.7802,19175.5334,16568.2473166667,26929.5781166667,13833.10715,13082.4696166667
"148","2013-14 - TOR",20925.3233333333,23540.12785,7501.31164999999,16038.8162,14267.9098833333,3923.16426666666,10401.1309333333
"149","2013-14 - UTA",19794.6666666667,-7844.23308333333,-10887.916,3107.68105000001,-17892.7338166667,-13377.3936,-4572.379
"150","2013-14 - WAS",19940.715,10839.66055,7583.45175,3231.48308333333,9055.67338333333,6378.88906666666,2715.92178333334
"151","2014-15 - ATL",19979.0633333333,13837.2304333333,5872.48198333333,7974.50501666667,21664.5864,6925.4603,14771.77685
"152","2014-15 - BKN",20592.7366666667,-4002.97771666666,-8335.19189999999,4295.57013333333,-6227.46256666665,-8111.83361666666,1954.50268333334
"153","2014-15 - BOS",19175.1633333333,5547.62536666668,-857.278333333327,6427.05188333333,7193.0048,2629.85488333334,4509.05773333333
"154","2014-15 - CHA",20385.305,-101.959116666672,8438.05555,-8510.45236666667,-2789.57401666666,7003.06568333334,-9820.47333333333
"155","2014-15 - CHI",19880,11600.6279166667,3767.08060000001,7839.81513333333,15930.0406333333,6323.09986666667,9591.77113333332
"156","2014-15 - CLE",22203.6183333333,15937.8591666667,-2926.18953333332,18885.9750833333,24048.7433166667,715.314100000006,23362.0215666667
"157","2014-15 - DAL",20132.635,12410.5421666667,2695.0678,9677.08491666666,12964.7297666667,-114.824233333336,13113.6722333333
"158","2014-15 - DEN",18078.89,-1044.39161666666,-5827.04130000001,4816.65236666668,-6138.04514999999,-6650.16766666667,517.692400000014
"159","2014-15 - DET",19120.3383333333,4846.67263333333,-1108.70663333334,5957.88028333333,3394.60418333332,-3087.33095,6507.80318333333
"160","2014-15 - GSW",19730,30633.4235666667,15895.5513166667,14689.9049833333,37899.7130166667,16330.1276166667,21595.7174
"161","2014-15 - HOU",22782.0466666667,9577.74328333332,2675.9939,6832.17645,14733.9196666667,8819.96825,5907.05316666666
